"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Add Books API","Add new book","0","0","1","0","0"
"","Add Books API","Add new book - lacking title parameter in body","1","0","0","0","0"
"","Get Books API","Get book by ID in query param instead of path param","0","0","1","0","0"
"","Delete Books API","Delete book - non-existing id","1","0","0","0","0"
"","Add Books API","Add new book - negative pagecount","1","0","0","0","0"
"","Delete Books API","Delete book","0","0","1","0","0"
"","Add Books API","Add new book - incorrect timestamp","0","0","1","0","0"
"","Update Books API","Update book - incorrect timestamp","0","0","1","0","0"
"","Update Books API","Update book","0","0","1","0","0"
"","Update Books API","Add new book - lacking title parameter in body","1","0","0","0","0"
"","Add Books API","Add new book - wrong pagecount","0","0","1","0","0"
"","Update Books API","Update book - wrong method","0","0","1","0","0"
"","Add Books API - Parametrized test example","Add new book - parametrized test example","1","0","3","0","0"
"","Get Books API","Get book by ID","0","0","1","0","0"
"","Update Books API","Update book - negative pagecount","1","0","0","0","0"
"","Update Books API","Update book - wrong pagecount","0","0","1","0","0"
"","Update Books API","Update book - weird ascii characters in title","0","0","1","0","0"
"","Delete Books API","Delete book - incorrect id format","0","0","1","0","0"
"","Update Books API","Update book - incorrect id format","0","0","1","0","0"
"","Add Books API","Add new book - wrong method","0","0","1","0","0"
"","Add Books API","Add new book - empty payload","1","0","0","0","0"
"","Get Books API","Get book by ID - sql injection","0","0","1","0","0"
"","Add Books API","Add new book - existing id","1","0","0","0","0"
"","Add Books API","Add new book - incorrect id format","0","0","1","0","0"
"","Update Books API","Update book - empty payload","0","0","1","0","0"
"","Get Books API","Get book by non existing ID","0","0","1","0","0"
"","Update Books API","Update book - non-existing id","1","0","0","0","0"
"","Get Books API","Get book list","0","0","1","0","0"
